Peak 537 fitted: x0=-17763530.784270037, gamma=10.0, amplitude=-467148.71118423867, offset=649.4130000006987
Peak 790 fitted: x0=25250590.657163836, gamma=10.0, amplitude=1729315.207967168, offset=2263.3750000000423
Peak 791 fitted: x0=55957333.9177951, gamma=10.0, amplitude=12297800.357573114, offset=2272.9549999999485
Peak 792 fitted: x0=57739577.91947927, gamma=10.0, amplitude=13434716.39714153, offset=2280.0919999997095
Peak 793 fitted: x0=59643936.755829535, gamma=10.0, amplitude=14342984.995505292, offset=2286.6740000000104
Peak 794 fitted: x0=-29957208.328381762, gamma=10.0, amplitude=-3593443.0690077264, offset=2302.8199999998583
Peak 795 fitted: x0=32705074.85201639, gamma=10.0, amplitude=4124093.3678909596, offset=2309.5959999998727
Peak 796 fitted: x0=34803301.08895338, gamma=10.0, amplitude=4726575.205204487, offset=2316.531000000112
Peak 797 fitted: x0=-208013197.48776728, gamma=10.0, amplitude=-1263551.1393751134, offset=2326.3130000003343
Peak 798 fitted: x0=57766869.336557925, gamma=10.0, amplitude=1579253.5432493074, offset=2339.524000000001
Peak 799 fitted: x0=-33221540.64904161, gamma=10.0, amplitude=-1688720.9455412359, offset=2352.6540000008536
Peak 800 fitted: x0=-52301284.94643094, gamma=10.0, amplitude=-11195202.13701169, offset=2362.637000000045
Peak 801 fitted: x0=28581504.044781577, gamma=10.0, amplitude=2498639.2730065202, offset=2373.0349999999403
Peak 802 fitted: x0=-29267819.67234288, gamma=10.0, amplitude=-3016237.2379111033, offset=2379.5430000000006
Peak 803 fitted: x0=-68729149.01207902, gamma=10.0, amplitude=-19463249.245818462, offset=2396.474999999889
Peak 804 fitted: x0=-40337875.697981395, gamma=10.0, amplitude=-6526584.396644506, offset=2406.794999998866
Peak 805 fitted: x0=-39473778.89166908, gamma=10.0, amplitude=-1618562.8621670543, offset=2416.7549999998514
Peak 806 fitted: x0=-30721614.10158609, gamma=10.0, amplitude=-1759531.9876423401, offset=2423.9090000000588
Peak 807 fitted: x0=-27810105.98533267, gamma=10.0, amplitude=-2058923.1310807795, offset=2430.336000000495
Peak 808 fitted: x0=28722395.347459093, gamma=10.0, amplitude=2562397.5073440922, offset=2437.1820000002886
Peak 809 fitted: x0=65503987.16310676, gamma=10.0, amplitude=16618335.74490536, offset=2447.553999999756
Peak 810 fitted: x0=37998135.89259597, gamma=10.0, amplitude=5315552.927601288, offset=2458.204999999365
Peak 811 fitted: x0=46421273.63542579, gamma=10.0, amplitude=8541623.40970987, offset=2472.478999999528
Peak 812 fitted: x0=-1545221.8097937193, gamma=-340902.7803964215, amplitude=-2089193.829828202, offset=2487.6852060790484
Peak 813 fitted: x0=118479150.07177585, gamma=-22651277.673139, amplitude=2712485.413623475, offset=2493.3708635616813
Peak 814 fitted: x0=1142552.2696058713, gamma=-2164.5876770461036, amplitude=89155.00961706392, offset=2506.4369999926625
Peak 815 fitted: x0=-42772993.25735458, gamma=10.0, amplitude=-7895016.025458045, offset=2517.379000000259
Peak 816 fitted: x0=49204328.98308981, gamma=10.0, amplitude=9961975.445874434, offset=2524.548
Peak 817 fitted: x0=28153446.805659134, gamma=10.0, amplitude=2486801.8714511404, offset=2535.3890000001734
Peak 818 fitted: x0=-29804132.611405164, gamma=10.0, amplitude=-3426999.467721162, offset=2541.276999999647
Peak 819 fitted: x0=40135305.88538695, gamma=10.0, amplitude=6399609.371471623, offset=2555.608000000475
Peak 820 fitted: x0=658789.1112367391, gamma=-53277.95268046843, amplitude=-233.99327430705915, offset=2594.8217307099617
Peak 821 fitted: x0=-50028275.22815846, gamma=10.0, amplitude=-10783054.04884116, offset=2569.6069999999677
Peak 822 fitted: x0=57491431.989191554, gamma=10.0, amplitude=13584515.9147135, offset=2577.032999999975
Peak 823 fitted: x0=33591899.63199185, gamma=10.0, amplitude=4276147.808758809, offset=2587.6990000007713
Peak 824 fitted: x0=91403722.87003037, gamma=10.0, amplitude=1751798.911528967, offset=2598.4620000000823
Peak 825 fitted: x0=30249910.28871383, gamma=10.0, amplitude=2239215.4020548807, offset=2613.006000000042
Peak 826 fitted: x0=30378468.42487891, gamma=10.0, amplitude=3094531.0214649346, offset=2619.9610000002717
Peak 827 fitted: x0=433937.15211677784, gamma=9145771.501556218, amplitude=15277.32595893775, offset=-12642.377511058414
Peak 828 fitted: x0=53697089.66830095, gamma=10.0, amplitude=11405849.595199531, offset=2648.615000000088
Peak 829 fitted: x0=67912471.98531857, gamma=10.0, amplitude=18421232.545113966, offset=2662.7779999998525
Peak 830 fitted: x0=44415558.27462478, gamma=10.0, amplitude=7722814.189930818, offset=2673.754000000055
Peak 831 fitted: x0=-31944727.058351744, gamma=10.0, amplitude=-2444680.387758528, offset=2684.1890000002204
Peak 832 fitted: x0=37037029.54577041, gamma=10.0, amplitude=5117989.1182077965, offset=2698.1129999997706
Peak 833 fitted: x0=-42427958.935281456, gamma=10.0, amplitude=-7423755.783357462, offset=2705.310999999942
Peak 834 fitted: x0=-49580064.81457124, gamma=10.0, amplitude=-10335863.864947224, offset=2712.464999999668
Peak 835 fitted: x0=412893.2678112669, gamma=-405.43857552121904, amplitude=1873.8441840438504, offset=2717.5086924808807
Peak 836 fitted: x0=-162860949.2683222, gamma=10.0, amplitude=-2017750.9421652162, offset=2733.4860000001245
Peak 837 fitted: x0=52279428.61690996, gamma=10.0, amplitude=11176054.67658014, offset=2744.4449999997846
Peak 838 fitted: x0=-32279356.76682406, gamma=10.0, amplitude=-3911560.096911068, offset=2755.8639999999177
Peak 839 fitted: x0=84821685.88368301, gamma=10.0, amplitude=2026516.5366206947, offset=2766.927000000009
Peak 840 fitted: x0=35953000.594639584, gamma=10.0, amplitude=2203383.8491512123, offset=2774.691999999785
Peak 841 fitted: x0=298782.49195330276, gamma=-2074.254366040195, amplitude=1412.4442282949738, offset=2774.152409438066
Peak 842 fitted: x0=-34557478.97149512, gamma=10.0, amplitude=-4839114.708395969, offset=2789.784999999941
Peak 843 fitted: x0=-41756840.61109966, gamma=10.0, amplitude=-7497997.728455557, offset=2797.5239999999317
Peak 844 fitted: x0=-30685442.234290343, gamma=10.0, amplitude=-2557361.2226514355, offset=2808.472
Peak 845 fitted: x0=-38922406.828949, gamma=10.0, amplitude=-6418608.860356993, offset=2823.835
Peak 846 fitted: x0=-32743784.93565597, gamma=10.0, amplitude=-2315218.6776081407, offset=2835.191999999861
Peak 847 fitted: x0=38580676.226721406, gamma=10.0, amplitude=5728652.733663781, offset=2850.279999999967
Peak 848 fitted: x0=-45648225.87857239, gamma=10.0, amplitude=-8871432.892525276, offset=2857.248000000127
Peak 849 fitted: x0=32413330.35237021, gamma=10.0, amplitude=3312270.878331207, offset=2868.123000000029
Peak 850 fitted: x0=-138406528.62234125, gamma=10.0, amplitude=-2175443.337505799, offset=2879.184000000189
Peak 851 fitted: x0=33064728.100104082, gamma=10.0, amplitude=3499612.0254492364, offset=2894.7510000001535
Peak 852 fitted: x0=46496174.95208378, gamma=10.0, amplitude=9122080.287019033, offset=2909.7589999996426
Peak 853 fitted: x0=-54687461.89027757, gamma=10.0, amplitude=-13611131.128121737, offset=2917.5919999996313
Peak 854 fitted: x0=66485748.23678863, gamma=10.0, amplitude=19168993.47795699, offset=2925.0520000001943
Peak 855 fitted: x0=-46537278.84580841, gamma=10.0, amplitude=-9530132.197735531, offset=2935.9420000001674
Peak 856 fitted: x0=-33607347.41059946, gamma=10.0, amplitude=-3947091.088867151, offset=2946.962000000627
Peak 857 fitted: x0=50064466.1268926, gamma=10.0, amplitude=10412557.474801147, offset=2961.888000000274
Peak 858 fitted: x0=-34901346.26091642, gamma=10.0, amplitude=-4504899.274429608, offset=2973.0890000000013
Peak 859 fitted: x0=53231304.49392865, gamma=10.0, amplitude=11811587.737985598, offset=2988.199000000133
Peak 860 fitted: x0=46778719.72499232, gamma=10.0, amplitude=8949768.974607475, offset=3006.5999999997553
Peak 861 fitted: x0=349402.3270650164, gamma=2048.3338825306787, amplitude=2022.2036027248396, offset=3010.817812838056
Peak 862 fitted: x0=-50016696.36242365, gamma=10.0, amplitude=-10978019.011633812, offset=3032.322999999989
Peak 863 fitted: x0=-60925926.583279274, gamma=10.0, amplitude=-16566900.90997815, offset=3039.5389999999998
Peak 864 fitted: x0=637673.8948138249, gamma=40781.90267287354, amplitude=-213.88790188853332, offset=3074.4548639914183
Peak 865 fitted: x0=73138.69959183942, gamma=-13973.695991030976, amplitude=-638.3869878001524, offset=3089.4483170411577
Peak 866 fitted: x0=67654660.29192139, gamma=10.0, amplitude=2637846.361511222, offset=3073.4129999999464
Peak 867 fitted: x0=-37361445.74089365, gamma=10.0, amplitude=-5551717.9532608725, offset=3087.9420000000014
Peak 868 fitted: x0=-58291259.615392305, gamma=10.0, amplitude=-15125660.57227909, offset=3102.765999999564
Peak 869 fitted: x0=-9152953303.78789, gamma=10.0, amplitude=-2610658.2194983773, offset=3110.310000000147
Peak 870 fitted: x0=-48337581.588975035, gamma=10.0, amplitude=-2704746.7196177253, offset=3117.435999999894
Peak 871 fitted: x0=68633486.53382435, gamma=10.0, amplitude=20605482.791400813, offset=3129.04499999997
Peak 872 fitted: x0=-63701400.789107315, gamma=10.0, amplitude=-18893133.238715924, offset=3149.2990000000723
Peak 873 fitted: x0=-34982775.57345594, gamma=10.0, amplitude=-3128974.748336049, offset=3164.367000000155
Peak 874 fitted: x0=-37183288.14356426, gamma=10.0, amplitude=-2940184.2555380673, offset=3183.5679999998533
Peak 875 fitted: x0=-45221393.632948644, gamma=10.0, amplitude=-9418316.386179628, offset=3199.662000000034
Peak 876 fitted: x0=59242896.58019262, gamma=10.0, amplitude=15696099.20768961, offset=3207.2869999999734
Peak 877 fitted: x0=1072727018.7064863, gamma=10.0, amplitude=2617170.0218914975, offset=3215.6569999999992
Peak 878 fitted: x0=-41652936.75137735, gamma=10.0, amplitude=-2778050.7241531196, offset=3223.8449999998297
Peak 879 fitted: x0=71753271.31687444, gamma=10.0, amplitude=23198612.796843726, offset=3235.2629999999635
Peak 880 fitted: x0=141777.8718677628, gamma=12440.476812167051, amplitude=264.75371842069444, offset=3232.1055097800613
Peak 881 fitted: x0=34634614.39854319, gamma=10.0, amplitude=4389633.564289438, offset=3250.2670000000476
Peak 882 fitted: x0=2174263.0249372358, gamma=33454879.95524572, amplitude=42005.1534396428, offset=-38684.80176349
Peak 883 fitted: x0=-43215101.98825945, gamma=10.0, amplitude=-8519291.634331355, offset=3277.9749999998953
Peak 884 fitted: x0=41508395.55300729, gamma=10.0, amplitude=2789044.6602819785, offset=3302.0230000004126
Peak 885 fitted: x0=-801032350.0525542, gamma=10.0, amplitude=-2881099.9770771535, offset=3313.7049999999995
Peak 886 fitted: x0=-58350844.11404141, gamma=10.0, amplitude=-15882809.14352474, offset=3325.569000000054
Peak 887 fitted: x0=-272235740.78984874, gamma=10.0, amplitude=-2881264.2779914415, offset=3333.7440000001184
Peak 888 fitted: x0=-60044703.81774674, gamma=10.0, amplitude=-16850885.545272097, offset=3345.125999999812
Peak 889 fitted: x0=49677977.33386263, gamma=10.0, amplitude=10662886.049869355, offset=3356.1069999995284
Peak 890 fitted: x0=884164.1396701317, gamma=2609.9989970432534, amplitude=-913.0135754728543, offset=3372.0375376729926
Peak 891 fitted: x0=52109530.634390466, gamma=10.0, amplitude=11718514.108238863, offset=3375.9210000002436
Peak 892 fitted: x0=-64894590.29755737, gamma=10.0, amplitude=-19541894.62082528, offset=3384.140999999919
Peak 893 fitted: x0=54911512.25433325, gamma=10.0, amplitude=13393325.442610217, offset=3396.196000000068
Peak 894 fitted: x0=69892937.83381242, gamma=10.0, amplitude=22100212.296343252, offset=3403.9689999999996
Peak 895 fitted: x0=-492044737.49542624, gamma=10.0, amplitude=-2981716.756996541, offset=3424.423000000001
Peak 896 fitted: x0=41139708.53066349, gamma=10.0, amplitude=3285548.683948488, offset=3432.6089999999995
Peak 897 fitted: x0=-64587956.456575446, gamma=10.0, amplitude=-19993717.106679473, offset=3456.6670000000013
Peak 898 fitted: x0=-53986696.55936947, gamma=10.0, amplitude=-14252034.160572506, offset=3469.268999999976
Peak 899 fitted: x0=-69270650.58052619, gamma=10.0, amplitude=-23815317.544562288, offset=3477.65400000001
Peak 900 fitted: x0=-36613446.25402182, gamma=10.0, amplitude=-5688079.9906007415, offset=3494.112999999949
Peak 901 fitted: x0=-35773248.290451035, gamma=10.0, amplitude=-3652871.6674643573, offset=3506.044000000578
Peak 902 fitted: x0=-60536803.86686221, gamma=10.0, amplitude=-3026308.6689669755, offset=3517.6139999997936
Peak 903 fitted: x0=-70091535.85342024, gamma=10.0, amplitude=-24392002.25438837, offset=3529.266000000109
Peak 904 fitted: x0=-60313511.987514295, gamma=10.0, amplitude=-17941751.76072929, offset=3541.4240000000527
Peak 905 fitted: x0=44545684.370456174, gamma=10.0, amplitude=8377002.0475623915, offset=3565.7280000000005
Peak 906 fitted: x0=59518464.17074304, gamma=10.0, amplitude=15900673.18930204, offset=3573.9199999998627
Peak 907 fitted: x0=-61932522.67963775, gamma=10.0, amplitude=-3395154.276455762, offset=3601.4699999997347
Peak 908 fitted: x0=293120857.601794, gamma=10.0, amplitude=3341457.7905594874, offset=3614.0680000001034
Peak 909 fitted: x0=69892587.13944052, gamma=10.0, amplitude=3616024.6541468347, offset=3634.5799999998408
Peak 910 fitted: x0=39190510.98420316, gamma=10.0, amplitude=5286085.101029011, offset=3642.889999999999
Peak 911 fitted: x0=472800.29071573983, gamma=-36515.23791367458, amplitude=273.93591589007053, offset=3638.1379855083674
Peak 912 fitted: x0=39293758.751437984, gamma=10.0, amplitude=5423715.831960344, offset=3674.67899999979
Peak 913 fitted: x0=41839074.267050795, gamma=10.0, amplitude=4147270.823702236, offset=3686.1729999996614
Peak 914 fitted: x0=59499364.9168619, gamma=10.0, amplitude=16056316.62658583, offset=3702.316999999861
Peak 915 fitted: x0=-38945594.09457982, gamma=10.0, amplitude=-4428141.336348012, offset=3719.6540000000186
Peak 916 fitted: x0=-49883158.5395899, gamma=10.0, amplitude=-3763323.5158747095, offset=3731.861999999824
Peak 917 fitted: x0=-39738387.36301369, gamma=10.0, amplitude=-6655363.558162489, offset=3740.1509999999507
Peak 918 fitted: x0=-53571984.60694223, gamma=10.0, amplitude=-13914882.980522614, offset=3747.97899999992
Peak 919 fitted: x0=-64019080.74862408, gamma=10.0, amplitude=-20248849.424607873, offset=3768.902000000001
Peak 920 fitted: x0=72678156.1738746, gamma=-15599561.852533132, amplitude=7118756.091853839, offset=3616.747724834925
Peak 921 fitted: x0=-38535468.51402946, gamma=10.0, amplitude=-5881600.687482052, offset=3785.133000000154
Peak 922 fitted: x0=-51300129.9889005, gamma=10.0, amplitude=-12662679.157455714, offset=3793.167000000508
Peak 923 fitted: x0=42471589.54254517, gamma=10.0, amplitude=7713236.353648752, offset=3819.1510000002004
Peak 924 fitted: x0=-56559428.253798306, gamma=10.0, amplitude=-16101857.020175116, offset=3827.445999999988
Peak 925 fitted: x0=174218906.28715402, gamma=10.0, amplitude=3804273.635857187, offset=3835.2809999999918
Peak 926 fitted: x0=375824.5819899648, gamma=-2866.7088492147363, amplitude=-1435.2752995056776, offset=3850.1374634623235
Peak 927 fitted: x0=46697868.78530911, gamma=10.0, amplitude=4108007.0786906807, offset=3855.353000000227
Peak 928 fitted: x0=-66130204.73039616, gamma=10.0, amplitude=-3857296.494903651, offset=3868.1000000000186
Peak 929 fitted: x0=-39017770.02656595, gamma=10.0, amplitude=-6202131.11242609, offset=3876.9119999999575
Peak 930 fitted: x0=72631455.7209105, gamma=10.0, amplitude=25039348.458546508, offset=3894.5459999998634
Peak 931 fitted: x0=-65398675.054237925, gamma=10.0, amplitude=-21363135.087547816, offset=3907.41799999941
Peak 932 fitted: x0=89505419.63988598, gamma=10.0, amplitude=4021948.596514357, offset=3927.2939999994483
Peak 933 fitted: x0=41636193.49503584, gamma=10.0, amplitude=4935581.906784706, offset=3947.94
Peak 934 fitted: x0=-47400926.309311375, gamma=10.0, amplitude=-10557677.382212672, offset=3956.588000000419
Peak 935 fitted: x0=62463762.78556436, gamma=10.0, amplitude=18312740.255085383, offset=3977.080000000124
Peak 936 fitted: x0=-56648894.57266701, gamma=10.0, amplitude=-15778434.149589716, offset=3988.96599999984
Peak 937 fitted: x0=40851795.477631986, gamma=10.0, amplitude=5235868.250220902, offset=3998.2316950853196
Peak 938 fitted: x0=50639008.412444994, gamma=10.0, amplitude=11590633.850373464, offset=4002.0381909550897
Peak 939 fitted: x0=-48133069.97108385, gamma=10.0, amplitude=-4281737.35382918, offset=4009.9374369326224
Peak 940 fitted: x0=43305038.529553324, gamma=10.0, amplitude=7269226.547893169, offset=4020.5365111560695
Peak 941 fitted: x0=-54422985.675280765, gamma=10.0, amplitude=-13956455.651336499, offset=4031.0570846076907
Peak 942 fitted: x0=43831877.66653137, gamma=10.0, amplitude=5119718.246749598, offset=4039.3868986696903
Peak 943 fitted: x0=46786741.378563896, gamma=10.0, amplitude=4750375.301789634, offset=4044.8993839836444
Peak 944 fitted: x0=46016203.82787321, gamma=10.0, amplitude=8692239.226795396, offset=4054.7048503606575
Peak 945 fitted: x0=-43316273.45889516, gamma=10.0, amplitude=-7782751.176148213, offset=4060.6480331262087
Peak 946 fitted: x0=61351317.0085633, gamma=10.0, amplitude=17078861.811403304, offset=4064.520746887967
Peak 947 fitted: x0=-89727473.02115752, gamma=10.0, amplitude=-4219672.882409813, offset=4068.6507276507136
Peak 948 fitted: x0=42886571.473297425, gamma=10.0, amplitude=6410466.0946697155, offset=4073.0635416673063
Peak 949 fitted: x0=56883131.85406942, gamma=10.0, amplitude=14357737.784549993, offset=4077.2275574112
Peak 950 fitted: x0=53030264.32355772, gamma=10.0, amplitude=12264116.561995925, offset=4088.6323529422802
Peak 951 fitted: x0=-1567731387.6535873, gamma=10.0, amplitude=-4244428.401835741, offset=4092.174736842527
Peak 952 fitted: x0=700596.4726038107, gamma=2592.261764883028, amplitude=-1154.955528208722, offset=4110.451589531769
Peak 953 fitted: x0=48581640.930063196, gamma=10.0, amplitude=9937215.59140219, offset=4106.256627783669
Peak 954 fitted: x0=-66321263.77794124, gamma=10.0, amplitude=-21069305.619481556, offset=4110.48565355936
Peak 955 fitted: x0=-45426412.67421257, gamma=10.0, amplitude=-8816262.026970593, offset=4118.861259339874
Peak 956 fitted: x0=65441384.81301655, gamma=10.0, amplitude=19331539.534760103, offset=4122.626737967064
Peak 957 fitted: x0=-65676222.54458848, gamma=10.0, amplitude=-4332719.990551174, offset=4133.01935483871
Peak 958 fitted: x0=44527842.710742004, gamma=10.0, amplitude=7684189.757857471, offset=4137.378232759387
Peak 959 fitted: x0=62337711.647708304, gamma=10.0, amplitude=17447414.94458721, offset=4141.685745141435
Peak 960 fitted: x0=75523118.81036952, gamma=10.0, amplitude=4281492.671064491, offset=4145.62121212184
Peak 961 fitted: x0=89569908.17154258, gamma=-12234215.484973263, amplitude=4598292.368919675, offset=4151.963683082242
Peak 962 fitted: x0=45395461.20097124, gamma=10.0, amplitude=7080736.642430461, offset=4155.843307942858
Peak 963 fitted: x0=45252809.98892224, gamma=10.0, amplitude=6955389.671604313, offset=4161.591703056695
Peak 964 fitted: x0=60551558.690835506, gamma=10.0, amplitude=15669448.083315777, offset=4165.426695843326
Peak 965 fitted: x0=45174498.19885023, gamma=10.0, amplitude=6810346.18407419, offset=4174.258241756783
Peak 966 fitted: x0=102857392.13889854, gamma=10.0, amplitude=4552534.732029215, offset=4188.383167219272
Peak 967 fitted: x0=428997.5420563995, gamma=-1908.0727105289634, amplitude=-1599.916297510867, offset=4197.0949964255615
Peak 968 fitted: x0=-59567818.55519028, gamma=10.0, amplitude=-15550598.310556762, offset=4203.364955360511
Peak 969 fitted: x0=46591493.16542273, gamma=10.0, amplitude=7163040.928855281, offset=4211.391255605381
Peak 970 fitted: x0=-87260597.48620373, gamma=10.0, amplitude=-4743544.418293492, offset=4219.274774777935
Peak 971 fitted: x0=-62049894.816221744, gamma=10.0, amplitude=-17028858.07970863, offset=4227.564479638008
Peak 972 fitted: x0=-75633140.25026962, gamma=10.0, amplitude=-4764137.056395886, offset=4231.590702947847
Peak 973 fitted: x0=-71046159.53323306, gamma=10.0, amplitude=-4824560.574581162, offset=4237.860068259385
Peak 974 fitted: x0=-47190927.20785582, gamma=10.0, amplitude=-8427930.768465461, offset=4242.1493728622445
Peak 975 fitted: x0=49277447.382759325, gamma=10.0, amplitude=8831373.150351837, offset=4248.480549196893
Peak 976 fitted: x0=68506319.597514, gamma=10.0, amplitude=19599226.757250287, offset=4252.70756880601
Peak 977 fitted: x0=51027171.62501838, gamma=10.0, amplitude=9843134.327644378, offset=4260.614055299538
Peak 978 fitted: x0=71591644.98289995, gamma=10.0, amplitude=21519614.047414728, offset=4264.780600461893
Peak 979 fitted: x0=46624051054.28072, gamma=10.0, amplitude=4737339.699408496, offset=4271.042873696076
Peak 980 fitted: x0=531129546.89717877, gamma=10.0, amplitude=4729232.334328063, offset=4277.320930232558
Peak 981 fitted: x0=-55156727.74797023, gamma=10.0, amplitude=-12860466.29149941, offset=4285.2091121477215
Peak 982 fitted: x0=167117559.98283115, gamma=10.0, amplitude=4716106.402217739, offset=4289.478922716628
Peak 983 fitted: x0=811063.6554878909, gamma=311.250541588771, amplitude=-3404.910646526704, offset=4302.74081470035
Peak 984 fitted: x0=-96405866.48074643, gamma=10.0, amplitude=-4781734.059470286, offset=4302.606132075472
Peak 985 fitted: x0=895034.6273865564, gamma=-2735.1180548182206, amplitude=4306.043130025807, offset=4304.35221895648
Peak 986 fitted: x0=67003239.74381508, gamma=10.0, amplitude=4891775.714607812, offset=4315.141330166271
Peak 987 fitted: x0=70707453.6404562, gamma=10.0, amplitude=20339159.52734853, offset=4323.690930787589
Peak 988 fitted: x0=54344734.06484522, gamma=10.0, amplitude=11150331.423660958, offset=4331.985611508865
Peak 989 fitted: x0=-55229056.65220127, gamma=10.0, amplitude=-12405601.978229186, offset=4338.323706376324
Peak 990 fitted: x0=1102922.8952687923, gamma=-25393.6924580562, amplitude=-2996784.826602588, offset=4349.1489503234325
Peak 991 fitted: x0=-60602867.68285954, gamma=10.0, amplitude=-15429372.742401198, offset=4350.764848486223
Peak 992 fitted: x0=-83839939.75272436, gamma=10.0, amplitude=-4910813.708747826, offset=4354.956257594736
Peak 993 fitted: x0=49292473.44738666, gamma=10.0, amplitude=8310566.897952772, offset=4359.095006091249
Peak 994 fitted: x0=-49879132.688318394, gamma=10.0, amplitude=-9431784.45890175, offset=4365.0929095321935
Peak 995 fitted: x0=51622025.1210712, gamma=10.0, amplitude=5528578.972406922, offset=4373.8378378378375
Peak 996 fitted: x0=48605296.00138901, gamma=10.0, amplitude=6042162.233780758, offset=4380.214549942857
Peak 997 fitted: x0=100744177.92814171, gamma=10.0, amplitude=4833630.2217765, offset=4388.66914498056
Peak 998 fitted: x0=556003.0024355097, gamma=3328.4132275585166, amplitude=826.2302905965798, offset=4386.269044309133
Peak 999 fitted: x0=-49066908.224067144, gamma=10.0, amplitude=-8997227.933901753, offset=4398.58728179202
Peak 1000 fitted: x0=-69564021.40614422, gamma=10.0, amplitude=-20861133.483816706, offset=4403.242499999999
Peak 1001 fitted: x0=-425434255.617603, gamma=10.0, amplitude=-4769592.678402412, offset=4409.930991218239
Peak 1002 fitted: x0=48208404.2862034, gamma=10.0, amplitude=6040854.8609706145, offset=4413.642767294443
Peak 1003 fitted: x0=-58684046.99096285, gamma=10.0, amplitude=-14380655.032695513, offset=4417.677175281352
Peak 1004 fitted: x0=64554351.28090525, gamma=10.0, amplitude=16754426.82359682, offset=4424.506329113924
Peak 1005 fitted: x0=69131957.78987485, gamma=10.0, amplitude=19425548.601017475, offset=4430.817026684756
Peak 1006 fitted: x0=776719.9056663907, gamma=140.10993336179345, amplitude=-40063.217592632995, offset=4445.121794871795
Peak 1007 fitted: x0=-97159545.90095675, gamma=10.0, amplitude=-4744498.287389218, offset=4449.140102833136
Peak 1008 fitted: x0=-47308861.54413965, gamma=10.0, amplitude=-7950323.970688967, offset=4453.121134020618
Peak 1009 fitted: x0=-52535598.84845116, gamma=10.0, amplitude=-9431392.238238601, offset=4460.271668822768
Peak 1010 fitted: x0=1496009460.7936304, gamma=10.0, amplitude=5239660.156259398, offset=4464.752269780648
Peak 1011 fitted: x0=194717181.62162235, gamma=10.0, amplitude=5232491.806687619, offset=4471.208333333333
Peak 1012 fitted: x0=-64385732.92742764, gamma=10.0, amplitude=-16187259.29340537, offset=4479.876963350785
Peak 1013 fitted: x0=-71534866.65458603, gamma=10.0, amplitude=-5390848.400952139, offset=4483.770341208965
Peak 1014 fitted: x0=-57742589.128131196, gamma=10.0, amplitude=-5780789.629830199, offset=4490.590250329382
Peak 1015 fitted: x0=58942455.65448867, gamma=10.0, amplitude=12252121.360435657, offset=4494.167767504703
Peak 1016 fitted: x0=-133920586.22461586, gamma=10.0, amplitude=-5223654.117011371, offset=4498.762913907284
Peak 1017 fitted: x0=-81638651.95910724, gamma=10.0, amplitude=-5304408.75461954, offset=4505.414893611864
Peak 1018 fitted: x0=-61029217.66395793, gamma=10.0, amplitude=-5588682.998688424, offset=4511.445927906847
Peak 1019 fitted: x0=-56127374.74744912, gamma=10.0, amplitude=-11547688.166130543, offset=4515.83132530209
Peak 1020 fitted: x0=-87205324.49549784, gamma=10.0, amplitude=-5246726.348610936, offset=4526.561994611394
Peak 1021 fitted: x0=53174251.613805175, gamma=10.0, amplitude=9080442.81884839, offset=4531.132432432432
Peak 1022 fitted: x0=-55890229.91937413, gamma=10.0, amplitude=-6310618.751279237, offset=4539.520380434783
Peak 1023 fitted: x0=-52430443.562567025, gamma=10.0, amplitude=-7404232.094336496, offset=4545.907230559345
Peak 1024 fitted: x0=54726065.32334662, gamma=10.0, amplitude=9095532.963099899, offset=4552.347945208478
Peak 1025 fitted: x0=-995367957.8716847, gamma=10.0, amplitude=-5374792.779521778, offset=4556.45329670744
Peak 1026 fitted: x0=-156238506.26566005, gamma=10.0, amplitude=-5372470.318736553, offset=4562.92275862069
Peak 1027 fitted: x0=53267492.95491456, gamma=10.0, amplitude=7636292.487254801, offset=4566.583679114799
Peak 1028 fitted: x0=1120074.8189708516, gamma=28938.3449380412, amplitude=-6086882.172051602, offset=4589.009876934249
Peak 1029 fitted: x0=-64207701.32375067, gamma=10.0, amplitude=-15305576.557762576, offset=4585.941176470588
Peak 1030 fitted: x0=-73985544.61311577, gamma=10.0, amplitude=-5502938.920786782, offset=4590.011235950971
Peak 1031 fitted: x0=63588141.33746862, gamma=10.0, amplitude=12911008.857471429, offset=4601.637906650125
Peak 1032 fitted: x0=-105863197.24289194, gamma=10.0, amplitude=-5717837.278464034, offset=4605.866666664476
Peak 1033 fitted: x0=71136775.85467248, gamma=10.0, amplitude=5983759.097281835, offset=4611.907407407407
Peak 1034 fitted: x0=-59408949.07030858, gamma=10.0, amplitude=-11490364.964839833, offset=4615.924285714286
Peak 1035 fitted: x0=56179140.80079684, gamma=10.0, amplitude=8169687.238987558, offset=4623.984195402299
Peak 1036 fitted: x0=74089474.4483832, gamma=6538746.957784728, amplitude=18569153.01157458, offset=4627.78818443772
Peak 1037 fitted: x0=-55028484.96085847, gamma=10.0, amplitude=-7546422.015771361, offset=4637.590711175618
Peak 1038 fitted: x0=57075963.053557426, gamma=10.0, amplitude=7134122.7798084, offset=4652.733137829912
Peak 1039 fitted: x0=-486848857.4717185, gamma=10.0, amplitude=-5596337.253997052, offset=4663.615952731165
Peak 1040 fitted: x0=57741942.69972652, gamma=10.0, amplitude=6844752.664806687, offset=4667.854814814815
Peak 1041 fitted: x0=56489304.61386191, gamma=10.0, amplitude=8601641.656031594, offset=4674.744047611681
