root@51ee45720a8e:/app# which aws
/usr/local/bin/aws
root@51ee45720a8e:/app# aws --version
aws region
aws s3 create-bucket --bucket sample-bucket --region us-east-1
aws-cli/1.38.21 Python/3.11.11 Linux/6.17.0-1011-oracle botocore/1.37.21
root@51ee45720a8e:/app# aws region
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
aws: error: argument command: Invalid choice, valid choices are:

accessanalyzer                           | account
          /tmp/foo/.git/* -> /tmp/foo/bar.txt  (does not match, should include)
          /tmp/foo/.git/* -> /tmp/foo/baz.jpg  (does not match, should include)

       The  command  aws  s3  cp  /tmp/foo/ s3://bucket/ --recursive --exclude
       "ba*" will exclude /tmp/foo/bar.txt and /tmp/foo/baz.jpg:

          /tmp/foo/ba* -> /tmp/foo/.git/config      (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/.git/description (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/foo.txt          (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/bar.txt  (matches, should exclude)
          /tmp/foo/ba* -> /tmp/foo/baz.jpg  (matches, should exclude)

       Note that, by default, all files are included.  This means that provid-
       ing  only  an  --include  filter  will not change what files are trans-
       ferred.  --include will only re-include files that have  been  excluded
       from an --exclude filter.  If you only want to upload files with a par-
       ticular extension, you need to first exclude all files, then re-include
       the files with the particular extension.  This command will upload only
       files ending with .jpg:

          aws s3 cp /tmp/foo/ s3://bucket/ --recursive --exclude "*" --include "*.jpg"

       If you wanted to include both .jpg files as well as .txt files you  can
       run:

          aws s3 cp /tmp/foo/ s3://bucket/ --recursive \
              --exclude "*" --include "*.jpg" --include "*.txt"

SYNOPSIS
          aws s3 <Command> [<Arg> ...]

OPTIONS
       None

AVAILABLE COMMANDS
       o cp

       o ls

       o mb

       o mv

       o presign

       o rb

       o rm

       o sync

       o website



                                                                          S3()

root@51ee45720a8e:/app# aws s3 ls
aws s3api --help 2>&1 | head -20
root@51ee45720a8e:/app# aws s3api --help 2>&1 | head -20
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: the following arguments are required: operation
root@51ee45720a8e:/app# aws s3api --help 2>&1 | grep -A 20 'Available Operations'
root@51ee45720a8e:/app# aws s3api create-bucket --bucket sample-bucket --region us-east-1
{
    "Location": "/sample-bucket"
}
root@51ee45720a8e:/app# aws s3 ls
cat > /tmp/policy.json << 'EOF'
{
  "Version": "2012-10-17",
  "Statement": [
    {
      "Sid": "PublicReadAccess",
      "Action": "s3:GetObject",
      "Resource": "arn:aws:s3:::sample-bucket/*",
      "Effect": "Allow",
      "Principal": {
        "AWS": "*"
      }
    }
  ]
}
EOF
aws s3 set-bucket-policy sample-bucket /tmp/policy.json
2026-07-08 12:34:44 sample-bucket
root@51ee45720a8e:/app# cat > /tmp/policy.json << 'EOF'
> {
>   "Version": "2012-10-17",
>   "Statement": [
>     {
>       "Sid": "PublicReadAccess",
>       "Action": "s3:GetObject",
>       "Resource": "arn:aws:s3:::sample-bucket/*",
>       "Effect": "Allow",
>       "Principal": {
>         "AWS": "*"
>       }
>     }
>   ]
> }
> EOF
root@51ee45720a8e:/app# aws s3 set-bucket-policy sample-bucket /tmp/policy.json
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument subcommand: Invalid choice, valid choices are:

ls                                       | website
cp                                       | mv
rm                                       | sync
mb                                       | rb
presign
root@51ee45720a8e:/app# aws s3 get-bucket-policy sample-bucket
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument subcommand: Invalid choice, valid choices are:

ls                                       | website
cp                                       | mv
rm                                       | sync
mb                                       | rb
presign
root@51ee45720a8e:/app# aws s3api --help 2>&1 | grep -A 50 'Available Operations'
root@51ee45720a8e:/app# aws s3api set-bucket-policy --bucket /sample-bucket --policy /tmp/policy.json
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument operation: Invalid choice, valid choices are:

abort-multipart-upload                   | complete-multipart-upload
copy-object                              | create-bucket
create-bucket-metadata-table-configuration | create-multipart-upload
create-session                           | delete-bucket
delete-bucket-analytics-configuration    | delete-bucket-cors
delete-bucket-encryption                 | delete-bucket-intelligent-tiering-configuration
delete-bucket-inventory-configuration    | delete-bucket-lifecycle
delete-bucket-metadata-table-configuration | delete-bucket-metrics-configuration
delete-bucket-ownership-controls         | delete-bucket-policy
delete-bucket-replication                | delete-bucket-tagging
delete-bucket-website                    | delete-object
delete-object-tagging                    | delete-objects
delete-public-access-block               | get-bucket-accelerate-configuration
get-bucket-acl                           | get-bucket-analytics-configuration
get-bucket-cors                          | get-bucket-encryption
get-bucket-intelligent-tiering-configuration | get-bucket-inventory-configuration
get-bucket-lifecycle                     | get-bucket-lifecycle-configuration
get-bucket-location                      | get-bucket-logging
get-bucket-metadata-table-configuration  | get-bucket-metrics-configuration
get-bucket-notification                  | get-bucket-notification-configuration
get-bucket-ownership-controls            | get-bucket-policy
get-bucket-policy-status                 | get-bucket-replication
get-bucket-request-payment               | get-bucket-tagging
get-bucket-versioning                    | get-bucket-website
get-object                               | get-object-acl
get-object-attributes                    | get-object-legal-hold
get-object-lock-configuration            | get-object-retention
get-object-tagging                       | get-object-torrent
get-public-access-block                  | head-bucket
head-object                              | list-bucket-analytics-configurations
list-bucket-intelligent-tiering-configurations | list-bucket-inventory-configurations
list-bucket-metrics-configurations       | list-buckets
list-directory-buckets                   | list-multipart-uploads
list-object-versions                     | list-objects
list-objects-v2                          | list-parts
put-bucket-accelerate-configuration      | put-bucket-acl
put-bucket-analytics-configuration       | put-bucket-cors
put-bucket-encryption                    | put-bucket-intelligent-tiering-configuration
put-bucket-inventory-configuration       | put-bucket-lifecycle
put-bucket-lifecycle-configuration       | put-bucket-logging
put-bucket-metrics-configuration         | put-bucket-notification
put-bucket-notification-configuration    | put-bucket-ownership-controls
put-bucket-policy                        | put-bucket-replication
put-bucket-request-payment               | put-bucket-tagging
put-bucket-versioning                    | put-bucket-website
put-object                               | put-object-acl
put-object-legal-hold                    | put-object-lock-configuration
put-object-retention                     | put-object-tagging
put-public-access-block                  | restore-object
select-object-content                    | upload-part
upload-part-copy                         | write-get-object-response
wait                                     | help


Invalid choice: 'set-bucket-policy', maybe you meant:

  * get-bucket-policy
  * put-bucket-policy
  * delete-bucket-policy
root@51ee45720a8e:/app# aws s3api get-bucket-policy --bucket /sample-bucket

Parameter validation failed:
Invalid bucket name "/sample-bucket": Bucket name must match the regex "^[a-zA-Z0-9.\-_]{1,255}$" or be an ARN matching the regex "^arn:(aws).*:(s3|s3-object-la
mbda):[a-z\-0-9]*:[0-9]{12}:accesspoint[/:][a-zA-Z0-9\-.]{1,63}$|^arn:(aws).*:s3-outposts:[a-z\-0-9]+:[0-9]{12}:outpost[/:][a-zA-Z0-9\-]{1,63}[/:]accesspoint[/:
][a-zA-Z0-9\-]{1,63}$"
root@51ee45720a8e:/app# aws s3api put-bucket-policy --bucket sample-bucket --policy /tmp/policy.json

An error occurred (MalformedPolicy) when calling the PutBucketPolicy operation: Policies must be valid JSON and the first byte must be '{'
root@51ee45720a8e:/app# aws s3api get-bucket-policy --bucket sample-bucket
aws s3api get-bucket-acl --bucket sample-bucket
aws s3api list-buckets

An error occurred (NoSuchBucketPolicy) when calling the GetBucketPolicy operation: The bucket policy does not exist
root@51ee45720a8e:/app# aws s3api get-bucket-acl --bucket sample-bucket
{
    "Owner": {
        "DisplayName": "webfile",
        "ID": "75aa57f09aa0c8caeab4f8c24e99d10f8e7faeebf76c078efc7c6caea54ba06a"
    },
    "Grants": [
        {
            "Grantee": {
                "DisplayName": "webfile",
                "ID": "75aa57f09aa0c8caeab4f8c24e99d10f8e7faeebf76c078efc7c6caea54ba06a",
                "Type": "CanonicalUser"
            },
            "Permission": "FULL_CONTROL"
        }
    ]
}
root@51ee45720a8e:/app# aws s3api list-buckets
{
    "Buckets": [
        {
            "Name": "sample-bucket",
            "CreationDate": "2026-07-08T12:34:44.000Z"
        }
    ],
    "Owner": {
        "DisplayName": "webfile",
        "ID": "75aa57f09aa0c8caeab4f8c24e99d10f8e7faeebf76c078efc7c6caea54ba06a"
    },
    "Prefix": null
}
root@51ee45720a8e:/app# cat -A /tmp/policy.json
{$
  "Version": "2012-10-17",$
  "Statement": [$
    {$
      "Sid": "PublicReadAccess",$
      "Action": "s3:GetObject",$
      "Resource": "arn:aws:s3:::sample-bucket/*",$
      "Effect": "Allow",$
      "Principal": {$
        "AWS": "*"$
      }$
    }$
  ]$
}$
root@51ee45720a8e:/app# hexdump -C /tmp/policy.json | head -20
bash: hexdump: command not found
root@51ee45720a8e:/app# cat > /tmp/policy.json << 'EOF'
> {
>   "Version": "2012-10-17",
>   "Statement": [
>     {
>       "Sid": "PublicReadAccess",
>       "Action": "s3:GetObject",
>       "Resource": "arn:aws:s3:::sample-bucket/*",
>       "Effect": "Allow",
>       "Principal": {
>         "AWS": "*"
>       }
>     }
>   ]
> }
> EOF
root@51ee45720a8e:/app# aws s3api put-bucket-policy --bucket sample-bucket --policy /tmp/policy.json

An error occurred (MalformedPolicy) when calling the PutBucketPolicy operation: Policies must be valid JSON and the first byte must be '{'
root@51ee45720a8e:/app# aws s3api get-bucket-policy --bucket sample-bucket
aws s3api get-bucket-acl --bucket sample-bucket

An error occurred (NoSuchBucketPolicy) when calling the GetBucketPolicy operation: The bucket policy does not exist
root@51ee45720a8e:/app# aws s3api get-bucket-acl --bucket sample-bucket
{
    "Owner": {
        "DisplayName": "webfile",
        "ID": "75aa57f09aa0c8caeab4f8c24e99d10f8e7faeebf76c078efc7c6caea54ba06a"
    },
    "Grants": [
        {
            "Grantee": {
                "DisplayName": "webfile",
                "ID": "75aa57f09aa0c8caeab4f8c24e99d10f8e7faeebf76c078efc7c6caea54ba06a",
                "Type": "CanonicalUser"
            },
            "Permission": "FULL_CONTROL"
        }
    ]
}
root@51ee45720a8e:/app# which jq
root@51ee45720a8e:/app# od -c /tmp/policy.json | head -5
0000000   {  \n           "   V   e   r   s   i   o   n   "   :       "
0000020   2   0   1   2   -   1   0   -   1   7   "   ,  \n           "
0000040   S   t   a   t   e   m   e   n   t   "   :       [  \n
0000060           {  \n                           "   S   i   d   "   :
0000100       "   P   u   b   l   i   c   R   e   a   d   A   c   c   e
root@51ee45720a8e:/app# python3 -m json.tool /tmp/policy.json > /tmp/policy2.json && mv /tmp/policy2.json /tmp/policy.json
root@51ee45720a8e:/app# aws s3api put-bucket-policy --bucket sample-bucket --policy /tmp/policy.json

An error occurred (MalformedPolicy) when calling the PutBucketPolicy operation: Policies must be valid JSON and the first byte must be '{'
root@51ee45720a8e:/app# cat -v /tmp/policy.json
{
    "Version": "2012-10-17",
    "Statement": [
        {
            "Sid": "PublicReadAccess",
            "Action": "s3:GetObject",
            "Resource": "arn:aws:s3:::sample-bucket/*",
            "Effect": "Allow",
            "Principal": {
                "AWS": "*"
            }
        }
    ]
}
root@51ee45720a8e:/app# wc -c /tmp/policy.json
310 /tmp/policy.json
root@51ee45720a8e:/app# head -c 1 /tmp/policy.json | od -x
0000000 007b
0000001
root@51ee45720a8e:/app# cat > /tmp/policy2.json << 'EOF'
> {"Version":"2012-10-17","Statement":[{"Sid":"PublicReadAccess","Action":"s3:GetObject","Resource":"arn:aws:s3:::sample-bucket/*","Effect":"Allow","Principal":
{"AWS":"*"}}]}
> EOF
root@51ee45720a8e:/app# python3 -m json.tool /tmp/policy2.json > /tmp/policy3.json && mv /tmp/policy3.json /tmp/policy.json
root@51ee45720a8e:/app# cat /tmp/policy.json | head -1
{
root@51ee45720a8e:/app# aws s3api put-bucket-policy --bucket sample-bucket --policy /tmp/policy.json

An error occurred (MalformedPolicy) when calling the PutBucketPolicy operation: Policies must be valid JSON and the first byte must be '{'
root@51ee45720a8e:/app#
